set,question,topic,answer,formula,worked_lines
1,77,Structured Products,A,Participation rate = (1 − zero-coupon PV factor − issuer fee) ÷ option cost.,3
3,6,Bonds,D,Present value / zero-coupon price = Future value ÷ (1 + required yield)^years.,3
3,15,PIDM,D,Protected amount = lower of eligible balance and applicable PIDM/TIPS protection limit.,4
3,21,Structured Products,A,Present value of protection leg = Future protected amount ÷ (1 + annual yield)^years.,3
3,40,Bonds,D,Approximate YTM = [Annual coupon + (Par − Price) ÷ Years] ÷ [(Par + Price) ÷ 2] × 100.,4
3,46,Portfolio,D,Allocation amount = Portfolio value × Target allocation percentage.,3
3,57,Debt Securities,C,Annualised discount-security return = [(Redemption value − Purchase price) ÷ Purchase price] × [365 ÷ Days to maturity] × 100.,4
3,58,Derivatives,C,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
3,60,Structured Products,D,Participation rate = (1 − zero-coupon PV factor − issuer fee) ÷ option cost.,3
3,61,Guidelines,C,Score percentage = Correct answers ÷ Total questions × 100.,3
3,63,Financial Markets,D,Ringgit amount = USD amount × RM/USD exchange rate.,3
3,68,Derivatives,C,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
3,69,Bonds,D,Approximate percentage price change = −Modified duration × Change in yield.,3
3,76,Bonds,D,Approximate real rate = Nominal rate − Inflation rate.,3
4,11,Derivatives,D,Option premium = Intrinsic value + Time value.,3
4,18,Guidelines,C,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
4,22,Structured Products,A,"Maturity proceeds = Protected principal × [1 + credited return]. Credited return = min(Underlying return × Participation rate, cap), where a cap applies.",4
4,23,Derivatives,D,"Call intrinsic value = max(Underlying price − Strike price, 0). Time value = Premium − Intrinsic value, if premium is given.",3
4,48,Bonds,C,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
4,66,PIDM,D,Protected amount = lower of eligible balance and applicable PIDM/TIPS protection limit.,4
4,68,Bonds,D,Approximate percentage price change = −Modified duration × Change in yield.,3
4,79,Derivatives,B,Option premium = Intrinsic value + Time value.,3
4,80,Bonds,B,Approximate real rate = Nominal rate − Inflation rate.,3
5,9,Bonds,D,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,12,Structured Products,B,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,14,Structured Products,B,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,18,Financial Markets,C,Ringgit amount = USD amount × RM/USD exchange rate.,3
5,19,Bonds,B,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,24,Bonds,A,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,26,Bonds,D,Approximate percentage price change = −Modified duration × Change in yield.,4
5,28,Bonds,C,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
5,31,Portfolio,A,Allocation amount = Portfolio value × Target allocation percentage.,3
5,43,Structured Products,D,"Maturity proceeds = Protected principal × [1 + credited return]. Credited return = min(Underlying return × Participation rate, cap), where a cap applies.",4
5,56,Structured Products,B,Present value of protection leg = Future protected amount ÷ (1 + annual yield)^years.,3
5,65,Bonds,A,Allocation amount = Portfolio value × Target allocation percentage.,3
5,66,Bonds,A,"Use the formula stated or implied by the question, substitute the given figures, and match the computed value to the nearest option.",4
